"","day","month","year","return","price.close"
"18256",14,9,2000,-0.272072981358814,1480.869995
"18257",15,9,2000,-1.01696543591594,1465.810059
"18258",18,9,2000,-1.45312476669257,1444.51001
"18259",19,9,2000,1.06541414690509,1459.900024
"18260",20,9,2000,-0.586345493477437,1451.339966
"18261",21,9,2000,-0.157779504020084,1449.050049
"18262",22,9,2000,-0.022778923352423,1448.719971
"18263",25,9,2000,-0.668862319424737,1439.030029
"18264",26,9,2000,-0.821391337345052,1427.209961
"18265",27,9,2000,-0.0448437873535798,1426.569946
"18266",28,9,2000,2.22352174801809,1458.290039
"18267",29,9,2000,-1.49353204215365,1436.51001
"18268",2,10,2000,-0.0194937729671579,1436.22998
"18269",3,10,2000,-0.680254495174933,1426.459961
"18270",4,10,2000,0.551013362792876,1434.319946
"18271",5,10,2000,0.1366559117766,1436.280029
"18272",6,10,2000,-1.9000500215129,1408.98999
"18273",9,10,2000,-0.493968094123935,1402.030029
"18274",10,10,2000,-1.07059112069846,1387.02002
"18275",11,10,2000,-1.61713988814667,1364.589966
"18276",12,10,2000,-2.55094481619543,1329.780029
"18277",13,10,2000,3.33814721472253,1374.170044
"18278",16,10,2000,0.0327434731942138,1374.619995
"18279",17,10,2000,-1.79322460677578,1349.969971
"18280",18,10,2000,-0.580751140278512,1342.130005
"18281",19,10,2000,3.47432847982562,1388.76001
"18282",20,10,2000,0.588297757796177,1396.930054
"18283",23,10,2000,-0.0823251670122572,1395.780029
"18284",24,10,2000,0.168362919025543,1398.130005
"18285",25,10,2000,-2.37674471480926,1364.900024
"18286",26,10,2000,-0.0337081831570061,1364.439941
"18287",27,10,2000,1.10961388222803,1379.579956
"18288",30,10,2000,1.3830353157146,1398.660034
"18289",31,10,2000,2.19781714303277,1429.400024
"18290",1,11,2000,-0.572271782751841,1421.219971
"18291",2,11,2000,0.499569042433621,1428.319946
"18292",3,11,2000,-0.114120439511105,1426.689941
"18293",6,11,2000,0.385507729601354,1432.189941
"18294",7,11,2000,-0.022339634628119,1431.869995
"18295",8,11,2000,-1.57765482054116,1409.280029
"18296",9,11,2000,-0.648559109042768,1400.140015
"18297",10,11,2000,-2.43975849800992,1365.97998
"18298",13,11,2000,-1.07761242591565,1351.26001
"18299",14,11,2000,2.34521415312217,1382.949951
"18300",15,11,2000,0.49604889859097,1389.810059
"18301",16,11,2000,-1.25845347619547,1372.319946
"18302",17,11,2000,-0.335196978912094,1367.719971
"18303",20,11,2000,-1.83516922558704,1342.619995
"18304",21,11,2000,0.352294842741408,1347.349976
"18305",22,11,2000,-1.85475128549673,1322.359985
"18306",24,11,2000,1.46783290633223,1341.77002
"18307",27,11,2000,0.536600974286194,1348.969971
"18308",28,11,2000,-0.954802944238407,1336.089966
"18309",29,11,2000,0.437102900898511,1341.930054
"18310",30,11,2000,-2.01054465689758,1314.949951
"18311",1,12,2000,0.0212957915080384,1315.22998
"18312",4,12,2000,0.740554210906895,1324.969971
"18313",5,12,2000,3.89216881353759,1376.540039
"18314",6,12,2000,-1.82196502022706,1351.459961
"18315",7,12,2000,-0.585286447860965,1343.550049
"18316",8,12,2000,1.96047523645321,1369.890015
"18317",11,12,2000,0.752610493332204,1380.199951
"18318",12,12,2000,-0.653521034648995,1371.180054
"18319",13,12,2000,-0.816090050854831,1359.98999
"18320",14,12,2000,-1.40147619762996,1340.930054
"18321",15,12,2000,-2.14627376828112,1312.150024
"18322",18,12,2000,0.807069756224766,1322.73999
"18323",19,12,2000,-1.29579616021136,1305.599976
"18324",20,12,2000,-3.12959457346068,1264.73999
"18325",21,12,2000,0.800164071668203,1274.859985
"18326",22,12,2000,2.43869651301355,1305.949951
"18327",26,12,2000,0.707530177012123,1315.189941
"18328",27,12,2000,1.043963504584,1328.920044
"18329",28,12,2000,0.398814588125817,1334.219971
"18330",29,12,2000,-1.04480088013912,1320.280029
"18331",2,1,2001,-2.80319388213666,1283.27002
"18332",3,1,2001,5.00986059036897,1347.560059
"18333",4,1,2001,-1.05524743814034,1333.339966
"18334",5,1,2001,-2.62423619573705,1298.349976
"18335",8,1,2001,-0.19178118735529,1295.859985
"18336",9,1,2001,0.381218963250871,1300.800049
"18337",10,1,2001,0.958638570899991,1313.27002
"18338",11,1,2001,1.03176999350066,1326.819946
"18339",12,1,2001,-0.623287057519116,1318.550049
"18340",16,1,2001,0.614309256303405,1326.650024
"18341",17,1,2001,0.212561485620563,1329.469971
"18342",18,1,2001,1.39153199421907,1347.969971
"18343",19,1,2001,-0.402822920155393,1342.540039
"18344",22,1,2001,0.0268137254415286,1342.900024
"18345",23,1,2001,1.3031498761817,1360.400024
"18346",24,1,2001,0.28668222075832,1364.300049
"18347",25,1,2001,-0.49769396438686,1357.51001
"18348",26,1,2001,-0.188584907745904,1354.949951
"18349",29,1,2001,0.68047480227555,1364.170044
"18350",30,1,2001,0.700787709131085,1373.72998
"18351",31,1,2001,-0.561971429057703,1366.01001
"18352",1,2,2001,0.546113201615559,1373.469971
"18353",2,2,2001,-1.74739896078878,1349.469971
"18354",5,2,2001,0.358665854299319,1354.310059
"18355",6,2,2001,-0.151372205085272,1352.26001
"18356",7,2,2001,-0.840814260269371,1340.890015
"18357",8,2,2001,-0.623465452533774,1332.530029
"18358",9,2,2001,-1.33355486280002,1314.76001
"18359",12,2,2001,1.1827290822452,1330.310059
